"01z-","https://thestoriesccc.substack.com/p/a-primeira-de-todas","https://thestoriesccc.substack.com/p/a-primeira-de-todas","2022-11-12 01:39:54","172.70.54.181","13"
"06ax","https://linkr.bio/sahaalah","Sahaalah Berkah Safar Linkr.Bio","2022-04-28 22:55:26","172.68.25.204","233"
"0iae","https://gean.me/yt/zcpec1GJSuk","Comunidade: Oney Araujo de Conteúdo","2022-05-02 14:04:22","172.68.18.31","78"
"1tnp","https://temas.in/tema/wild/?fbclid=IwAR2uA_iT-oNTaMBkjGrJwaHZtTlT_wpFk5BOsws3W5N8iRjHlk3Q-B_pJtI","Iuniques Themes Shop","2022-05-08 23:55:02","172.71.10.83","46"
"1venda-goog-ads","https://geanramos.com/watch?v=5QWT88fjZVA","Profissão Gestor de Tráfego - v3 - Pedro Sobral","2023-05-09 23:00:23","172.71.234.130","5"
"2024","https://docs.google.com/document/d/e/2PACX-1vR0-gfN0yLoWYk-KPxKktDUvhXKvQhxqUkGTi_8T_8JN7mknQUZ-oCV96_FULt9kpyJJEclrkPfooNL/pub","como ganhar dinheiro na internet em 2024","2024-01-21 04:24:48","172.71.234.52","3"
"22","https://vote22.gean.me/","https://vote22.gean.me/","2022-10-28 23:40:03","172.71.11.90","47"
"31y9","https://www.tumblr.com/floretado/727267699454099456/acredito-que-um-dia-terei-o-amor-sobre-o-qual?source=share","https://www.tumblr.com/floretado/727267699454099456/acredito-que-um-dia-terei-o-amor-sobre-o-qual?source=share","2023-09-05 18:42:50","172.68.18.116","5"
"68pb","https://blog.geanramos.com/happy-christmas.html","https://blog.geanramos.com/happy-christmas.html","2022-12-18 01:32:20","172.71.11.80","22"
"7hd-","https://blog.geanramos.com/tem-que-ser-reciproco.html","https://blog.geanramos.com/tem-que-ser-reciproco.html","2022-12-18 02:10:53","172.71.11.90","24"
"8lbe","https://thenewscc.com.br/stories/","https://thenewscc.com.br/stories/","2022-11-09 20:33:22","172.71.10.95","22"
"9wwt","https://pt.pornhub.com/view_video.php?viewkey=ph63bcd95397524","Marican Chanelle Anal Squirt Banged out BBC - Pornhub.com","2023-04-06 18:33:59","172.71.234.159","23"
"a","https://pt.pornhub.com/pornstar/erin-everheart","Vídeos Pornôs de Erin Everheart - Perfil de Pornstar Verificado | Pornhub","2023-04-30 20:20:32","172.69.3.211","379"
"acbu","https://gean.me/yt/DLQA_Hu-WhI","16 Milhões com 16 anos","2022-04-26 16:47:52","172.71.16.149","74"
"acredito-em-nos","https://geanramos.wordpress.com/2022/08/15/acredito-em-nos/","Acredito em Nós – Gean Ramos","2022-10-16 01:29:21","172.70.82.19","51"
"al1","https://www.youtube.com/watch?v=0XYAJ0uOCtw&list=PLAr322Yg8UkA_TEsRNcUyrsqXIV7MIGb2","https://www.youtube.com/watch?v=0XYAJ0uOCtw&list=PLAr322Yg8UkA_TEsRNcUyrsqXIV7MIGb2","2023-02-15 02:23:54","172.70.105.165","16"
"amor-ao-primeiro-beijo","https://gofilmes.me/play/m.php?Vmo1L250SUhxa0FtUDFrakphZTNudz09","Player","2023-04-18 22:56:45","172.71.6.249","9"
"amp","https://playground.amp.dev/?url=https://preview.amp.dev/documentation/examples/interactivity-dynamic-content/tic_tac_toe.email&_gl=1*i9sg34*_ga*YW1wLWJ1Q1ItRVVrUEJ5Y21rbjF3LUc2d2c.&runtime=amp4email&preview=true","https://playground.amp.dev/?url=https://preview.amp.dev/documentation/examples/interactivity-dynamic-content/tic_tac_toe.email&_gl=1*i9sg34*_ga*YW1wLWJ1Q1ItRVVrUEJ5Y21rbjF3LUc2d2c.&runtime=amp4email&preview=true","2022-12-26 01:29:43","172.71.6.219","15"
"anuncio-local-pedro","https://gean.me/yt/zlfb1qTj7IU","Anúncio para negócio local: 27 estratégias","2022-04-30 22:43:34","172.71.10.69","66"
"appm","http://mpago.li/1su3CaL","Ganhei R$ 100 no Mercado Pago","2022-05-11 12:13:03","172.69.3.194","79"
"aqfs","https://fson.link/movies?play=TzVYNWtudjFHWE0zSGcydkxPbUkyL3dCN2ZQS3hkU2wvaVhseXBQUUd5YTZXWkZyQk5jT0daa1hUMnNTSFBhdA==","Filme: Até que a Fuga os Separe Dublado","2022-04-14 10:16:38","172.71.6.195","85"
"avata2","https://gofilmes.me/play/m.php?SFhNUTNUM1RTRWhmbEFiNDJKS2wxUT09","Player","2023-04-18 14:00:45","172.71.234.158","11"
"baba","https://forms.gle/mwYpkM2WcJAD2hbv8","VAGA DE EMPREGO.","2023-03-15 00:10:12","172.68.19.36","126"
"bd-relacional","http://gean.me/yt/SvlvhlaRCCo","Banco de Dados Relacional na AWS","2022-05-08 11:33:05","172.71.6.141","64"
"blog","https://geanramos.wordpress.com/","Gean Ramos - Blog","2022-04-09 11:12:24","104.41.28.210","482"
"blog-google-cloud","https://www.hostgator.com.br/blog/como-utilizar-wordpress-google-cloud/","Como utilizar o WordPress no Google Cloud","2022-04-14 08:56:29","172.71.10.147","159"
"bsseygeknmo","https://gean.me/watch?v=BSSEYGEKNmo","https://gean.me/watch?v=BSSEYGEKNmo","2023-06-14 13:40:56","172.71.6.22","4"
"cart","http://gean.me/yt/qVzZY5mZLYI","Cartoon Box - Top 20","2022-05-23 16:08:17","172.71.10.147","67"
"carteira-bitcoin-antiga","https://paxful.com/university/pt-br/encontrar-carteira-bitcoin-perdida/","Como encontro a minha carteira bitcoin antiga?","2022-04-15 01:54:53","172.68.26.99","249"
"cnews","https://chat.whatsapp.com/FHNG09NmXZo2hGa4lEuL3B","https://chat.whatsapp.com/FHNG09NmXZo2hGa4lEuL3B","2023-01-02 23:03:02","172.71.10.94","16"
